"","OPR_DT","OPR_HR","OPR_INTERVAL","TI_ID","TI_DIRECTION","CONSTRAINT_CAUSE","PRC","MARKET_RUN_ID"
"1","2024-05-02",8,1,"AEOLUS_EXP","E","Base Case",64.21769,"RTD"
"2","2024-05-02",10,12,"AEOLUS_EXP","E","Base Case",62.86147,"RTD"
"3","2024-05-02",8,3,"AEOLUS_EXP","E","Base Case",69.67587,"RTD"
"4","2024-05-02",8,4,"AEOLUS_EXP","E","Base Case",67.69738,"RTD"
"5","2024-05-02",8,5,"AEOLUS_EXP","E","Base Case",69.23246,"RTD"
"6","2024-05-02",8,6,"AEOLUS_EXP","E","Base Case",64.09744,"RTD"
"7","2024-05-02",8,7,"AEOLUS_EXP","E","Base Case",63.05765,"RTD"
"8","2024-05-02",8,8,"AEOLUS_EXP","E","Base Case",61.58603,"RTD"
"9","2024-05-02",8,9,"AEOLUS_EXP","E","Base Case",57.8732,"RTD"
"10","2024-05-02",8,10,"AEOLUS_EXP","E","Base Case",60.43623,"RTD"
"11","2024-05-02",8,11,"AEOLUS_EXP","E","Base Case",61.25008,"RTD"
"12","2024-05-02",8,12,"AEOLUS_EXP","E","Base Case",59.06203,"RTD"
"13","2024-05-02",9,1,"AEOLUS_EXP","E","Base Case",49.40879,"RTD"
"14","2024-05-02",9,2,"AEOLUS_EXP","E","Base Case",55.13246,"RTD"
"15","2024-05-02",9,3,"AEOLUS_EXP","E","Base Case",55.54925,"RTD"
"16","2024-05-02",9,4,"AEOLUS_EXP","E","Base Case",56.18417,"RTD"
"17","2024-05-02",9,5,"AEOLUS_EXP","E","Base Case",56.73639,"RTD"
"18","2024-05-02",9,6,"AEOLUS_EXP","E","Base Case",63.17164,"RTD"
"19","2024-05-02",9,7,"AEOLUS_EXP","E","Base Case",62.59878,"RTD"
"20","2024-05-02",9,8,"AEOLUS_EXP","E","Base Case",65.26046,"RTD"
"21","2024-05-02",9,9,"AEOLUS_EXP","E","Base Case",64.9812,"RTD"
"22","2024-05-02",9,10,"AEOLUS_EXP","E","Base Case",65.11445,"RTD"
"23","2024-05-02",9,11,"AEOLUS_EXP","E","Base Case",65.23379,"RTD"
"24","2024-05-02",9,12,"AEOLUS_EXP","E","Base Case",67.50381,"RTD"
