"OPR_HR","TI_ID","TI_DIRECTION","SHADOW_PRC","HE_INT"
10,"Line_PND-FDM_230KV","I",20.81,"10-3"
10,"ME-JF 138","I",145.08,"10-3"
10,"NOB_ITC","E",-43.22,"10-3"
10,"SRP_SYSTEM_ITC","I",-28.5,"10-3"
