"OPR_HR","TI_ID","TI_DIRECTION","SHADOW_PRC","HE_INT"
11,"LDWP_IPP_NORTH","E",-20.15,"11-0"
11,"Line_PND-FDM_230KV","I",22.33,"11-0"
11,"ME-JF 138","I",67.8,"11-0"
11,"NOB_ITC","E",-800,"11-0"
11,"SRP_SYSTEM_ITC","I",-32.35,"11-0"
